"","","",
"","00:31 Muni Code Violation - RV ","2101030006 ",
"","Occurred at Santa Maria Av/Palmetto Av. Disposition: Unfounded. ","",
"","00:53 Suspicious Vehicle ","2101030012 ",
"","Officer initiated activity at San Marlo Lot, San Marlo Wy, Pacifica. Disposition: Warning (Cite/Verbal). ","",
"","01:08 School Check ","2101030015 ",
"","Officer initiated activity at Ingrid B Lacy Middle School, Palmetto Av, Pacifica. . Disposition: Checks ","Ok. ",
"","01:23 School Check ","2101030017 ",
"","Officer initiated activity at Good Shepherd School, Oceana Bl, Pacifica. . Disposition: Checks Ok. ","",
"","01:24 Vehicle Stolen ","2101030018 ",
"","Occurred on Peralta Rd. Disposition: Report Taken. ","",
"","02:11 Suspicious Vehicle ","2101030027 ",
"","Occurred on St Lawrence Dr. Disposition: Log Note Only. ","",
"","02:50 Susp Circ 911 ","2101030035 ",
"","Occurred at Wireless on Info Av. Disposition: Not Dispatched. ","",
"","03:46 Suspicious Circumstances ","2101030043 ",
"","Occurred on Edna Ln. Disposition: Log Note Only. ","",
"","09:27 Muni Code Violation ","2101030094 ",
"","Officer initiated activity at Winona Av, Pacifica. . Disposition: Abated/Advised. ","",
"","10:00 Petty Theft ","2101030099 ",
"","Occurred on Rainier Av. . Disposition: Report Taken. ","",
"","10:03 Welfare Check ","2101030100 ",
"","Occurred at Sharp Park Rd/Lundy Wy. Disposition: Unfounded. ","",
"","10:27 Dist Domestic ","2101030106 ",
"","Occurred on Nick Gust Wy. Disposition: Report Taken. ","",
"","10:37 Petty Theft ","2101030107 ",
"","Occurred on Sharp Park Rd. Disposition: Report Taken. ","",
"","11:05 Burglary ","2101030113 ",
"","Occurred on Franz Ct. Disposition: Report Taken. ","",
"","11:16 Muni Code Violation - RV ","2101030117 ",
"","Occurred on Seaside Dr. Disposition: Gone On Arrival. ","",
"","11:22 Citizen Assist ","2101030121 ",
"","Occurred at SB1 At Manor Off on Manor Dr/Monterey Rd. Disposition: Gone On Arrival. ","",
"","12:03 Citizen Assist ","2101030131 ",
"","Occurred on Winwood Av. Disposition: Report Taken. ","",
"","12:13 Suspicious Vehicle ","2101030133 ",
"","Occurred at Sharp Park Turn Out West on Sharp Park Rd/Lundy Wy. Disposition: Log Note Only. ","",
"","12:29 Traffic Law Vehicle ","2101030138 ",
"","Occurred on Linda Mar Bl. Disposition: Gone On Arrival. ","",
"","12:30 Dist Domestic ","2101030139 ",
"","Occurred on Skyline Bl. Disposition: Report Taken. ","",
"","13:06 Civil Case ","2101030142 ",
"","Occurred on Brighton Rd. Disposition: Phone Report. ","",
"","13:38 Traffic Law Abandoned ","2101030146 ",
"","Occurred at Palmetto Av/Santa Maria Av. . Disposition: Unfounded. ","",
"","13:53 Welfare Check ","2101030147 ",
"","Occurred on Grand Teton Dr. . Disposition: Report Taken. ","",
"","14:38 Traffic Law Vehicle ","2101030154 ",
"","Occurred at Cabrillo Hwy/Rockaway Beach Av. Disposition: Log Note Only. ","",
